0.000000	0.000000	0.000000
0.004671	0.000019	0.000000
0.008939	0.000049	0.000000
0.012656	0.000086	0.000000
0.015700	0.000126	0.000000
0.017972	0.000165	0.000000
0.019403	0.000198	0.000000
0.019954	0.000219	0.000000
0.019620	0.000225	0.000000
0.018426	0.000208	0.000000
0.016434	0.000164	0.000000
0.013742	0.000086	0.000000
0.010485	0.000038	0.000001
0.006854	0.000225	0.000002
0.003121	0.000531	0.000008
0.000234	0.001327	0.000069
0.001695	0.003618	0.005894
0.009544	0.016338	0.025311
0.018930	0.028390	0.043189
0.028962	0.039405	0.059392
0.039143	0.049247	0.073807
0.049112	0.057836	0.086356
0.058576	0.065127	0.096989
0.067294	0.071104	0.105691
0.075064	0.075771	0.112475
0.081727	0.079155	0.117382
0.087162	0.081303	0.120482
0.091281	0.082275	0.121862
0.094036	0.082148	0.121634
0.095412	0.081008	0.119923
0.095426	0.078954	0.116869
0.094127	0.076088	0.112622
0.091588	0.072520	0.107339
0.087909	0.068358	0.101179
0.083209	0.063715	0.094303
0.077626	0.058700	0.086871
0.071307	0.053418	0.079036
0.064410	0.047970	0.070945
0.057100	0.042451	0.062737
0.049538	0.036947	0.054541
0.041890	0.031538	0.046472
0.034313	0.026295	0.038634
0.026961	0.021279	0.031119
0.019984	0.016542	0.024003
0.013526	0.012133	0.017349
0.007747	0.008101	0.011208
0.002853	0.004551	0.005628
0.000712	0.004931	0.001640
0.004204	0.034498	0.011410
0.007852	0.069776	0.022825
0.010625	0.099908	0.032526
0.012692	0.124921	0.040565
0.014168	0.145002	0.047014
0.015141	0.160420	0.051962
0.015688	0.171492	0.055512
0.015879	0.178577	0.057780
0.015774	0.182056	0.058888
0.015429	0.182328	0.058964
0.014893	0.179797	0.058137
0.014208	0.174865	0.056537
0.013414	0.167926	0.054289
0.012544	0.159358	0.051516
0.011627	0.149519	0.048332
0.010685	0.138743	0.044844
0.009739	0.127336	0.041153
0.008804	0.115576	0.037346
0.007894	0.103708	0.033504
0.007018	0.091947	0.029696
0.006183	0.080476	0.025981
0.005394	0.069449	0.022408
0.004652	0.058988	0.019018
0.003960	0.049189	0.015842
0.003318	0.040123	0.012903
0.002723	0.031836	0.010216
0.002173	0.024355	0.007790
0.001665	0.017687	0.005626
0.001194	0.011828	0.003724
0.000750	0.006773	0.002075
0.000317	0.002661	0.000685
0.000187	0.002654	0.013473
0.000471	0.007827	0.038817
0.000651	0.011998	0.059023
0.000761	0.015220	0.074582
0.000821	0.017584	0.085989
0.000844	0.019192	0.093737
